inst#,actual,predicted,error
946,147.8,195.411,47.611
947,225.8,200.655,-25.145
948,250.8,199.75,-51.05
949,322.9,200.412,-122.488
950,188.8,196.143,7.343
951,205.8,199.926,-5.874
952,355.9,196.002,-159.898
953,192.9,196.412,3.512
954,134.3,200.596,66.296
955,155.8,238.972,83.172
956,223.8,200.692,-23.108
957,141.8,200.48,58.68
958,216.81,199.826,-16.984
959,72.8,200.047,127.247
960,153.8,199.47,45.67
961,114.8,196.724,81.924
962,250.8,200.977,-49.823
963,147.8,200.014,52.214
964,144.8,200.317,55.517
965,173.81,199.424,25.614
966,216.81,199.883,-16.927
967,267.8,196.546,-71.254
968,343.2,252.797,-90.403
969,255.8,200.366,-55.434
